Date,SPX.open,SPX.high,SPX.low,SPX.close,SPX.volume,SPX.total_ret_index_gross_dvd,SPX.total_ret_index_net_dvd
2014-06-11,1949.37,1949.37,1940.08,1943.89,397056300.0,7597.971,5009.8516
2014-06-12,1943.35,1943.35,1925.78,1930.11,469795940.0,7546.2446,4975.7446
2014-06-13,1930.8,1937.3,1927.69,1936.16,454782000.0,7570.0415,4991.4355
2014-06-16,1934.84,1941.15,1930.91,1937.78,461743970.0,7576.404,4995.631
2014-06-17,1937.15,1943.69,1933.55,1941.99,424817820.0,7593.024,5006.5894
2014-06-18,1942.73,1957.74,1939.29,1956.98,450175300.0,7651.703,5045.281
2014-06-19,1957.5,1959.87,1952.26,1959.48,487951230.0,7662.5527,5052.4346
2014-06-20,1960.45,1963.91,1959.17,1962.87,1225010600.0,7675.856,5061.206
2014-06-23,1962.92,1963.74,1958.89,1962.61,429726100.0,7674.8594,5060.549
2014-06-24,1961.97,1968.17,1948.34,1949.98,481626700.0,7626.1343,5028.4214
2014-06-25,1949.27,1960.83,1947.49,1959.53,469446900.0,7663.6763,5053.1753
2014-06-26,1959.89,1959.89,1944.69,1957.22,417090180.0,7655.961,5048.088
2014-06-27,1956.56,1961.47,1952.18,1960.96,754974660.0,7670.9907,5057.9985
2014-06-30,1960.79,1964.24,1958.22,1960.23,543446700.0,7668.4766,5056.3403
2014-07-01,1962.29,1978.58,1962.29,1973.32,453395500.0,7721.0854,5091.029
2014-07-02,1973.06,1976.67,1972.58,1974.62,398543780.0,7726.622,5094.6797
2014-07-03,1975.88,1985.59,1975.88,1985.44,372778080.0,7768.985,5122.6123
2014-07-07,1984.22,1984.22,1974.88,1977.65,411961180.0,7738.7793,5102.696
2014-07-08,1976.39,1976.39,1959.46,1963.71,500784960.0,7686.4966,5068.222
2014-07-09,1965.1,1974.15,1965.1,1972.83,424467520.0,7722.661,5092.068
2014-07-10,1966.67,1969.84,1952.86,1964.68,431707550.0,7690.758,5071.032
2014-07-11,1965.76,1968.67,1959.63,1967.57,389943170.0,7702.8013,5078.973
2014-07-14,1969.86,1979.85,1969.86,1977.1,413153400.0,7740.13,5103.5864
2014-07-15,1977.36,1982.52,1965.34,1973.28,574597440.0,7725.205,5093.745
2014-07-16,1976.35,1983.94,1975.67,1981.57,563271400.0,7758.5737,5115.7476
2014-07-17,1979.75,1981.8,1955.59,1958.12,570555800.0,7667.507,5055.701
2014-07-18,1961.54,1979.91,1960.82,1978.22,598989900.0,7746.256,5107.6255
2014-07-21,1976.93,1976.93,1965.77,1973.63,412421900.0,7728.5225,5095.9326
2014-07-22,1975.65,1986.24,1975.65,1983.53,442676580.0,7767.29,5121.4946
2014-07-23,1985.32,1989.23,1982.44,1987.01,500128450.0,7781.0093,5130.541
2014-07-24,1988.07,1991.39,1985.79,1987.98,508563520.0,7784.886,5133.097
2014-07-25,1984.6,1984.6,1974.37,1978.34,429045440.0,7747.2856,5108.304
2014-07-28,1978.25,1981.52,1967.31,1978.91,446608300.0,7749.533,5109.786
2014-07-29,1980.03,1984.85,1969.95,1969.95,501819170.0,7714.8125,5086.8926
2014-07-30,1973.21,1978.9,1962.42,1970.07,501324100.0,7716.57,5088.052
2014-07-31,1965.14,1965.14,1930.67,1930.67,636984100.0,7562.7104,4986.6016
2014-08-01,1929.8,1937.35,1916.37,1925.15,530081180.0,7541.092,4972.347
2014-08-04,1926.62,1942.92,1921.2,1938.99,478743840.0,7595.343,5008.1187
2014-08-05,1936.34,1936.34,1913.77,1920.21,514760260.0,7522.475,4960.072
2014-08-06,1917.29,1927.91,1911.45,1920.24,497211520.0,7524.8164,4961.6157
2014-08-07,1923.03,1928.89,1904.78,1909.57,482464900.0,7484.8057,4935.234
2014-08-08,1910.35,1932.38,1909.01,1931.59,464022800.0,7571.302,4992.2666
2014-08-11,1933.43,1944.9,1933.43,1936.92,406222620.0,7593.6133,5006.978
2014-08-12,1935.73,1939.65,1928.29,1933.75,361088450.0,7581.582,4999.045
2014-08-13,1935.6,1948.41,1935.6,1946.72,381970080.0,7634.3604,5033.845
2014-08-14,1947.41,1955.23,1947.41,1955.18,329704740.0,7667.9194,5055.973
2014-08-15,1958.87,1964.04,1941.5,1955.06,608697900.0,7668.366,5056.2676
2014-08-18,1958.36,1971.99,1958.36,1971.74,437281800.0,7734.288,5099.7344
2014-08-19,1972.73,1982.57,1972.73,1981.6,406385920.0,7774.4995,5126.2485
2014-08-20,1980.46,1988.57,1977.68,1986.51,387730620.0,7794.2847,5139.2944
2014-08-21,1986.82,1994.76,1986.82,1992.37,404517730.0,7817.472,5154.583
2014-08-22,1992.6,1993.54,1984.76,1988.4,388759000.0,7802.9233,5144.99
2014-08-25,1991.74,2001.95,1991.74,1997.92,347701250.0,7840.404,5169.7036
2014-08-26,1998.59,2005.04,1998.59,2000.02,321244960.0,7848.711,5175.181
2014-08-27,2000.54,2002.14,1996.2,2000.12,360861730.0,7850.71,5176.499
2014-08-28,1997.42,1998.55,1990.52,1996.74,327403170.0,7838.477,5168.433
2014-08-29,1998.45,2003.38,1994.65,2003.37,434091650.0,7865.164,5186.03
2014-09-02,2004.07,2006.12,1994.85,2002.28,414849150.0,7861.2134,5183.425
2014-09-03,2003.57,2009.28,1998.14,2000.72,408860450.0,7856.5327,5180.3384
2014-09-04,2001.67,2011.17,1992.54,1997.65,437703740.0,7844.7144,5172.546
2014-09-05,1998.0,2007.71,1990.1,2007.71,470374460.0,7884.4004,5198.7134
2014-09-08,2007.17,2007.17,1995.6,2001.54,472663300.0,7861.5356,5183.637
2014-09-09,2000.73,2001.01,1984.61,1988.44,492285060.0,7810.1904,5149.782
2014-09-10,1988.41,1996.66,1982.99,1995.69,450704900.0,7839.478,5169.093
2014-09-11,1992.85,1997.65,1985.93,1997.45,420061570.0,7848.5864,5175.099
2014-09-12,1996.74,1996.74,1980.26,1985.54,553889150.0,7801.9536,5144.351
2014-09-15,1986.04,1987.18,1978.48,1984.13,487894000.0,7796.4604,5140.7285
